TEST SCRIPT REPORT — BACKEND (NEGATIF),,,,,,,,,,,,
Nama Kelompok,,:,Kelompok 3,,,,,,,,,
Kelas,,:,A,,,,,,,,,
Angkatan,,:,2024,,,,,,,,,
Nama Sistem,,:,BERBAGIVE,,,,,,,,,
Tipe Pengujian: Backend,,,,,,,Skenario: Negatif,,,,,,
,,,,,,,,,,,,
No.,SRS Ref.,FSD Ref.,No. Test Script,Nama Fungsional,URL / Endpoint,HTTP Method,Role / Auth,Parameter / Body,Ekspektasi Status,Ekspektasi Response,Kategori
14,FR-AUTH-06,FSD-1.6,TS-BE-N014,Resend Verifikasi — Rate limit tercapai,PATCH /api/v1/auth/resend-verification,POST,Tanpa Auth,"email:""test@mail.com"" (request ke-6 dalam 24 jam)",429,"status:""error"", message: batas pengiriman ulang tercapai",Auth
15,FR-AUTH-02,FSD-1.2,TS-BE-N015,Register Komunitas — Tanpa token,PATCH /api/v1/users/me/register-komunitas,POST,Tanpa Auth,"username:""komunitas"", email:""kom@mail.com"", password:""Password123""",401,message: Unauthenticated,Auth
16,FR-AUTH-02,FSD-1.2,TS-BE-N016,Register Komunitas — Username sudah dipakai,PATCH /api/v1/users/me/register-komunitas,POST,DONATUR,"username:""existing_user"", email:""kom@mail.com"", password:""Password123"", password_confirmation:""Password123"", nama_pj:""Budi"", nama_lembaga:""Yayasan"", id_jenis_lembaga:1",409,"status:""error"", message: username sudah digunakan",Auth
17,FR-PROF-01,FSD-2.1,TS-BE-N017,Lihat Profil — Tanpa token,PATCH /api/v1/users/me,GET,Tanpa Auth,Tidak ada Authorization header,401,message: Unauthenticated,User Profile
18,FR-PROF-01,FSD-2.1,TS-BE-N018,Lihat Profil — Token expired,PATCH /api/v1/users/me,GET,DONATUR,Token kadaluarsa,401,message: Unauthenticated,User Profile
19,FR-PROF-02,FSD-2.2,TS-BE-N019,Edit Profil — Format nomor telepon tidak valid,PATCH /api/v1/users/me,PATCH,DONATUR,"nama_lengkap:""Fatih"", nomor_telepon:""abc123""",422,"status:""error"", errors berisi nomor_telepon tidak valid",User Profile
20,FR-PROF-03,FSD-2.3,TS-BE-N020,Ganti Password — Password lama salah,PATCH /api/v1/users/me/password,PATCH,DONATUR,"password_lama:""WrongOldPass"", password_baru:""NewPass456"", password_baru_confirmation:""NewPass456""",400,"status:""error"", message: password lama salah",User Profile
21,FR-PROF-03,FSD-2.3,TS-BE-N021,Ganti Password — Konfirmasi tidak cocok,PATCH /api/v1/users/me/password,PATCH,DONATUR,"password_lama:valid, password_baru:""NewPass456"", password_baru_confirmation:""Different""",422,"status:""error"", errors berisi password_baru_confirmation tidak cocok",User Profile
22,FR-PROF-04,FSD-2.4,TS-BE-N022,Riwayat Donasi — Belum ada donasi,PATCH /api/v1/users/me/donations,GET,DONATUR,Token valid (user baru),200,"status:""success"", data array kosong dengan total:0",User Profile
23,FR-MON-01,FSD-7.1,TS-BE-N023,Detail Campaign Publik — Campaign tidak ditemukan,PATCH /api/v1/campaigns/{id}/public,GET,Tanpa Auth,id: 99999,404,"status:""error"", message: campaign tidak ditemukan",Kampanye Publik
24,FR-MON-01,FSD-7.1,TS-BE-N024,Monitoring Publik — Campaign tidak ditemukan,PATCH /api/v1/campaigns/{id}/monitoring,GET,Tanpa Auth,id: 99999,404,"status:""error"", message: campaign tidak ditemukan",Kampanye Publik
25,FR-DON-03,FSD-4.3,TS-BE-N025,Donor List — Campaign tidak ditemukan,PATCH /api/v1/campaigns/{id}/donors,GET,Tanpa Auth,id: 99999,404,"status:""error"", message: campaign tidak ditemukan",Kampanye Publik
26,FR-MON-08,FSD-2.5,TS-BE-N026,Profil Publik Komunitas — Tidak ditemukan,PATCH /api/v1/communities/{id}/profile,GET,Tanpa Auth,id: 99999,404,"status:""error"", message: komunitas tidak ditemukan",Komunitas
27,FR-PROF-06,FSD-2.6,TS-BE-N027,Edit Profil Komunitas — Tanpa token,PATCH /api/v1/communities/profile,PATCH,Tanpa Auth,"deskripsi:""Test""",401,message: Unauthenticated,Komunitas
28,FR-PROF-06,FSD-2.6,TS-BE-N028,Edit Profil Komunitas — Role DONATUR,PATCH /api/v1/communities/profile,PATCH,DONATUR,"deskripsi:""Test""",403,"status:""error"", message: akses ditolak",Komunitas
29,FR-PROF-07,FSD-2.7,TS-BE-N029,Ajukan Perubahan Rekening — Data tidak lengkap,PATCH /api/v1/communities/bank-account/change,POST,KOMUNITAS,"nama_bank_baru:""""",422,"status:""error"", errors berisi field wajib",Komunitas
30,FR-PROF-07,FSD-2.7,TS-BE-N030,Ajukan Perubahan Rekening — Masih ada pengajuan pending,PATCH /api/v1/communities/bank-account/change,POST,KOMUNITAS,"nama_bank_baru:""BCA"", nomor_rekening_baru:""123"", foto_buku_rekening_url:""url"", alasan_perubahan:""test""",409,"status:""error"", message: masih ada pengajuan menunggu verifikasi",Komunitas
31,FR-PROF-08,FSD-2.8,TS-BE-N031,Riwayat Campaign — Role DONATUR,PATCH /api/v1/communities/campaigns,GET,DONATUR,Token valid,403,"status:""error"", message: akses ditolak",Komunitas
32,FR-CAMP-01,FSD-5.1,TS-BE-N032,Ajukan Campaign — Field wajib kosong,PATCH /api/v1/communities/campaigns,POST,KOMUNITAS,"judul:""""",422,"status:""error"", errors berisi field wajib",Kampanye
33,FR-CAMP-01,FSD-5.1,TS-BE-N033,Ajukan Campaign — Target dana di bawah minimum,PATCH /api/v1/communities/campaigns,POST,KOMUNITAS,"judul:""Test"", id_kategori:1, target_dana:5000000",422,"status:""error"", message: target dana minimal Rp 10.000.000",Kampanye
34,FR-CAMP-01,FSD-5.1,TS-BE-N034,Ajukan Campaign — Tanggal selesai sebelum mulai,PATCH /api/v1/communities/campaigns,POST,KOMUNITAS,"tanggal_mulai:""2026-07-01"", tanggal_selesai:""2026-01-01""",422,"status:""error"", errors berisi tanggal_selesai tidak valid",Kampanye
35,FR-MON-03,FSD-7.3,TS-BE-N035,Post Update — Campaign tidak milik komunitas,PATCH /api/v1/communities/campaigns/{id}/updates,POST,KOMUNITAS,"id: campaign milik komunitas lain, judul_update:""Test"", konten:""Test""",403,"status:""error"", message: akses ditolak, campaign bukan milik komunitas",Kampanye
36,FR-MON-03,FSD-7.3,TS-BE-N036,Post Update — Judul dan konten kosong,PATCH /api/v1/communities/campaigns/{id}/updates,POST,KOMUNITAS,"judul_update:"""", konten:""""",422,"status:""error"", errors berisi judul_update dan konten wajib",Kampanye
37,FR-MON-03,FSD-7.3,TS-BE-N037,Post Update — Foto melebihi 10,PATCH /api/v1/communities/campaigns/{id}/updates,POST,KOMUNITAS,"judul_update:""Test"", konten:""Test"", foto_urls: 11 URL",422,"status:""error"", message: maksimal 10 foto",Kampanye
38,FR-MON-03,FSD-7.3,TS-BE-N038,Post Update — Campaign sudah selesai,PATCH /api/v1/communities/campaigns/{id}/updates,POST,KOMUNITAS,"id: campaign berstatus selesai, judul_update:""Test"", konten:""Test""",403,"status:""error"", message: tidak dapat membuat update pada campaign selesai",Kampanye
39,FR-LAPOR-03,FSD-15.3,TS-BE-N039,Klarifikasi — Teks klarifikasi kosong,PATCH /api/v1/communities/campaigns/{id}/clarifications,POST,KOMUNITAS,"teks_klarifikasi:""""",422,"status:""error"", errors berisi teks_klarifikasi wajib",Kampanye
40,FR-CAIR-01,FSD-6.1,TS-BE-N040,Ajukan Pencairan — Nominal melebihi saldo,PATCH /api/v1/communities/withdrawals,POST,KOMUNITAS,"id_campaign:1, nominal:999999999",422,"status:""error"", message: nominal melebihi saldo tersedia",Pencairan
41,FR-CAIR-01,FSD-6.1,TS-BE-N041,Ajukan Pencairan — Role DONATUR,PATCH /api/v1/communities/withdrawals,POST,DONATUR,"id_campaign:1, nominal:100000",403,"status:""error"", message: akses ditolak",Pencairan
42,FR-CAIR-01,FSD-6.1,TS-BE-N042,Ajukan Pencairan — Maksimal 5 kali,PATCH /api/v1/communities/withdrawals,POST,KOMUNITAS,"id_campaign: campaign sudah 5 kali pencairan",409,"status:""error"", message: sudah mencapai batas maksimal pencairan",Pencairan
43,SRS-DON-01,FSD-DON-01,TS-BE-N043,Buat Donasi — Tanpa token,PATCH /api/v1/donations,POST,Tanpa Auth,"id_campaign:1, nominal:50000",401,message: Unauthenticated,Donasi
44,SRS-DON-01,FSD-DON-01,TS-BE-N044,Buat Donasi — Campaign tidak ditemukan,PATCH /api/v1/donations,POST,DONATUR,"id_campaign:99999, nominal:50000, metode_pembayaran:""qris""",404,"status:""error"", message: campaign tidak ditemukan",Donasi
45,SRS-DON-01,FSD-DON-01,TS-BE-N045,Buat Donasi — Nominal di bawah minimum,PATCH /api/v1/donations,POST,DONATUR,"id_campaign:1, nominal:3000, metode_pembayaran:""qris""",422,"status:""error"", message: nominal minimal Rp 5.000",Donasi
46,SRS-DON-01,FSD-DON-01,TS-BE-N046,Buat Donasi — Metode pembayaran tidak valid,PATCH /api/v1/donations,POST,DONATUR,"id_campaign:1, nominal:50000, metode_pembayaran:""dana""",422,"status:""error"", errors berisi metode_pembayaran tidak valid",Donasi
47,SRS-DON-01,FSD-DON-01,TS-BE-N047,Buat Donasi — Campaign tidak aktif,PATCH /api/v1/donations,POST,DONATUR,"id_campaign: campaign berstatus nonaktif, nominal:50000",403,"status:""error"", message: campaign tidak menerima donasi",Donasi
48,SRS-DON-03,FSD-DON-03,TS-BE-N048,Detail Donasi — ID tidak ditemukan,PATCH /api/v1/donations/{id},GET,DONATUR,id: 99999,404,"status:""error"", message: donasi tidak ditemukan",Donasi
49,SRS-DON-03,FSD-DON-03,TS-BE-N049,Detail Donasi — Milik user lain,PATCH /api/v1/donations/{id},GET,DONATUR,id: id_donasi milik user lain,403,"status:""error"", message: akses ditolak, bukan donasi milik Anda",Donasi
50,SRS-DON-04,FSD-DON-04,TS-BE-N050,Bukti Donasi — ID tidak ditemukan,PATCH /api/v1/donations/{id}/receipt,GET,DONATUR,id: 99999,404,"status:""error"", message: donasi tidak ditemukan",Donasi
51,SRS-DON-04,FSD-DON-04,TS-BE-N051,Bukti Donasi — Milik user lain,PATCH /api/v1/donations/{id}/receipt,GET,DONATUR,id: id_donasi milik user lain,403,"status:""error"", message: akses ditolak",Donasi
52,SRS-DON-05,FSD-DON-05,TS-BE-N052,Update Status Pembayaran — ID tidak ditemukan,PATCH /api/v1/donations/{id}/payment-status,PATCH,DONATUR,"id:99999, status_pembayaran:""berhasil""",404,"status:""error"", message: donasi tidak ditemukan",Donasi
53,SRS-DON-05,FSD-DON-05,TS-BE-N053,Update Status — Nilai enum tidak valid,PATCH /api/v1/donations/{id}/payment-status,PATCH,DONATUR,"id: valid, status_pembayaran:""proses""",422,"status:""error"", errors berisi status_pembayaran tidak valid",Donasi
54,FR-MON-06,FSD-7.6,TS-BE-N054,Follow — Tanpa token,PATCH /api/v1/communities/{communityId}/follow,POST,Tanpa Auth,communityId: id valid,401,message: Unauthenticated,Follow
55,FR-MON-06,FSD-7.6,TS-BE-N055,Follow — Sudah follow komunitas yang sama,PATCH /api/v1/communities/{communityId}/follow,POST,DONATUR,communityId: id yang sudah diikuti,409,"status:""error"", message: sudah mengikuti komunitas ini",Follow
56,FR-MON-07,FSD-7.7,TS-BE-N056,Unfollow — Belum follow komunitas,PATCH /api/v1/communities/{communityId}/follow,DELETE,DONATUR,communityId: id yang belum diikuti,409,"status:""error"", message: belum mengikuti komunitas ini",Follow
57,FR-NOTIF-01,FSD-9.1,TS-BE-N057,List Notifikasi — Tanpa token,PATCH /api/v1/notifications,GET,Tanpa Auth,Tidak ada Authorization header,401,message: Unauthenticated,Notifikasi
58,FR-NOTIF-01,FSD-9.1,TS-BE-N058,Tandai Baca — ID notifikasi tidak ditemukan,PATCH /api/v1/notifications/{notificationId}/read,PATCH,DONATUR,notificationId: 99999,404,"status:""error"", message: notifikasi tidak ditemukan",Notifikasi
59,FR-LAPOR-01,FSD-15.1,TS-BE-N059,Laporkan Campaign — Tanpa login,PATCH /api/v1/campaigns/{id}/reports,POST,Tanpa Auth,"alasan_laporan:""Test""",401,message: Unauthenticated,Report
60,FR-LAPOR-01,FSD-15.1,TS-BE-N060,Laporkan Campaign — Sudah pernah melaporkan,PATCH /api/v1/campaigns/{id}/reports,POST,DONATUR,"alasan_laporan:""Test"", campaign yang sudah dilaporkan",409,"status:""error"", message: sudah pernah melaporkan campaign ini",Report
61,FR-MON-05,FSD-7.5,TS-BE-N061,Laporkan Post — Sudah pernah melaporkan,PATCH /api/v1/campaigns/updates/{updateId}/reports,POST,DONATUR,"alasan_laporan:""Test"", post yang sudah dilaporkan",409,"status:""error"", message: sudah melaporkan post ini",Report
62,FR-DASH-SA-01,FSD-11.1,TS-BE-N062,Dashboard Superadmin — Tanpa token,PATCH /api/v1/superadmin/dashboard,GET,Tanpa Auth,Tidak ada Authorization header,401,message: Unauthenticated,Superadmin
63,FR-DASH-SA-01,FSD-11.1,TS-BE-N063,Dashboard Superadmin — Role DONATUR,PATCH /api/v1/superadmin/dashboard,GET,DONATUR,Token valid,403,"status:""error"", message: akses ditolak, hanya superadmin",Superadmin
64,FR-DASH-SA-01,FSD-11.1,TS-BE-N064,Dashboard Superadmin — Role KOMUNITAS,PATCH /api/v1/superadmin/dashboard,GET,KOMUNITAS,Token valid,403,"status:""error"", message: akses ditolak",Superadmin
65,FR-ADMIN-01,FSD-12.1,TS-BE-N065,List Donatur — Role KOMUNITAS,PATCH /api/v1/superadmin/donors,GET,KOMUNITAS,Token valid,403,"status:""error"", message: akses ditolak",Superadmin
66,FR-ADMIN-01,FSD-12.1,TS-BE-N066,Detail Donatur — ID tidak ditemukan,PATCH /api/v1/superadmin/donors/{id},GET,SUPERADMIN,id: 99999,404,"status:""error"", message: donatur tidak ditemukan",Superadmin
67,FR-ADMIN-01,FSD-12.1,TS-BE-N067,Ubah Status Donatur — is_active kosong,PATCH /api/v1/superadmin/donors/{id}/status,PATCH,SUPERADMIN,id: valid,422,"status:""error"", errors berisi is_active wajib",Superadmin
68,FR-ADMIN-01,FSD-12.1,TS-BE-N068,Ubah Status Donatur — is_active bukan boolean,PATCH /api/v1/superadmin/donors/{id}/status,PATCH,SUPERADMIN,"id: valid, is_active:""aktif""",422,"status:""error"", errors berisi is_active harus boolean",Superadmin
69,FR-ADMIN-02,FSD-12.2,TS-BE-N069,Detail Komunitas — ID tidak ditemukan,PATCH /api/v1/superadmin/communities/{id},GET,SUPERADMIN,id: 99999,404,"status:""error"", message: komunitas tidak ditemukan",Superadmin
70,FR-ADMIN-04,FSD-12.4,TS-BE-N070,Tambah Kategori — Nama kosong,PATCH /api/v1/superadmin/campaign-categories,POST,SUPERADMIN,"nama_kategori:"""", deskripsi:""test""",422,"status:""error"", errors berisi nama_kategori wajib",Superadmin
71,FR-ADMIN-04,FSD-12.4,TS-BE-N071,Tambah Kategori — Nama duplikat,PATCH /api/v1/superadmin/campaign-categories,POST,SUPERADMIN,"nama_kategori:""Pendidikan"" (sudah ada)",409,"status:""error"", message: nama kategori sudah digunakan",Superadmin
72,FR-ADMIN-04,FSD-12.4,TS-BE-N072,Delete Kategori — Role DONATUR,PATCH /api/v1/superadmin/campaign-categories/{id},DELETE,DONATUR,id: valid,403,"status:""error"", message: akses ditolak",Superadmin
73,FR-ADMIN-05,FSD-12.5,TS-BE-N073,Export Laporan — Tanggal mulai setelah selesai,PATCH /api/v1/superadmin/reports/financial/export,POST,SUPERADMIN,"tanggal_mulai:""2026-02-01"", tanggal_selesai:""2026-01-01"", format_export:""excel""",422,"status:""error"", errors berisi rentang tanggal tidak valid",Superadmin
74,FR-ADMIN-05,FSD-12.5,TS-BE-N074,Export Laporan — Format tidak didukung,PATCH /api/v1/superadmin/reports/financial/export,POST,SUPERADMIN,"tanggal_mulai:""2026-01-01"", tanggal_selesai:""2026-01-31"", format_export:""csv""",422,"status:""error"", errors berisi format_export tidak valid",Superadmin
75,FR-ADMIN-05,FSD-12.5,TS-BE-N075,Export Laporan — Tanpa token,PATCH /api/v1/superadmin/reports/financial/export,POST,Tanpa Auth,"tanggal_mulai:""2026-01-01"", tanggal_selesai:""2026-01-31"", format_export:""excel""",401,message: Unauthenticated,Superadmin
76,FR-REG-01,FSD-13.1,TS-BE-N076,List Pendaftaran — Tanpa token,PATCH /api/v1/superadmin/community-registrations,GET,Tanpa Auth,Tidak ada Authorization header,401,message: Unauthenticated,Superadmin
77,FR-REG-01,FSD-13.1,TS-BE-N077,Detail Pendaftaran — ID tidak ditemukan,PATCH /api/v1/superadmin/community-registrations/{id},GET,SUPERADMIN,id: 99999,404,"status:""error"", message: pendaftaran tidak ditemukan",Superadmin
78,FR-REG-01,FSD-13.1,TS-BE-N078,Reject Pendaftaran — Alasan kosong,PATCH /api/v1/superadmin/community-registrations/{id}/reject,POST,SUPERADMIN,"id: valid, alasan_penolakan:""""",422,"status:""error"", errors berisi alasan_penolakan wajib",Superadmin
79,FR-REG-01,FSD-13.1,TS-BE-N079,Approve Pendaftaran — Sudah direview,PATCH /api/v1/superadmin/community-registrations/{id}/approve,POST,SUPERADMIN,id: registrasi yang sudah di-approve/reject,409,"status:""error"", message: keputusan tidak dapat diubah",Superadmin
80,FR-VERIF-01,FSD-14.1,TS-BE-N080,Reject Perubahan Rekening — Alasan kosong,PATCH /api/v1/superadmin/bank-account-changes/{id}/reject,POST,SUPERADMIN,"id: valid, alasan_penolakan:""""",422,"status:""error"", errors berisi alasan_penolakan wajib",Superadmin
81,FR-VERIF-01,FSD-14.1,TS-BE-N081,Approve Rekening — Sudah direview,PATCH /api/v1/superadmin/bank-account-changes/{id}/approve,POST,SUPERADMIN,id: pengajuan berstatus disetujui,409,"status:""error"", message: keputusan sudah dibuat",Superadmin
82,FR-CAIR-02,FSD-6.2,TS-BE-N082,Detail Pencairan — ID tidak ditemukan,PATCH /api/v1/superadmin/disbursements/{id},GET,SUPERADMIN,id: 99999,404,"status:""error"", message: pencairan tidak ditemukan",Superadmin
83,FR-CAIR-02,FSD-6.2,TS-BE-N083,Reject Pencairan — Alasan kosong,PATCH /api/v1/superadmin/disbursements/{id}/reject,POST,SUPERADMIN,"id: valid, alasan_penolakan:""""",422,"status:""error"", errors berisi alasan_penolakan wajib",Superadmin
84,FR-CAIR-02,FSD-6.2,TS-BE-N084,Approve Pencairan — Tanpa token,PATCH /api/v1/superadmin/disbursements/{id}/approve,POST,Tanpa Auth,id: valid,401,message: Unauthenticated,Superadmin
85,FR-CAIR-02,FSD-6.2,TS-BE-N085,Approve Pencairan — Sudah direview,PATCH /api/v1/superadmin/disbursements/{id}/approve,POST,SUPERADMIN,id: pencairan berstatus disetujui,409,"status:""error"", message: keputusan sudah dibuat",Superadmin
86,FR-LAPOR-02,FSD-15.2,TS-BE-N086,List Laporan Campaign — Tanpa token,PATCH /api/v1/superadmin/campaign-reports,GET,Tanpa Auth,Tidak ada Authorization header,401,message: Unauthenticated,Superadmin
87,FR-LAPOR-02,FSD-15.2,TS-BE-N087,Detail Laporan Campaign — ID tidak ditemukan,PATCH /api/v1/superadmin/campaign-reports/{id},GET,SUPERADMIN,id: 99999,404,"status:""error"", message: laporan tidak ditemukan",Superadmin
88,FR-LAPOR-02,FSD-15.2,TS-BE-N088,Abaikan Laporan — Catatan internal kosong,PATCH /api/v1/superadmin/campaign-reports/{id}/ignore,POST,SUPERADMIN,"id: valid, catatan_internal:""""",422,"status:""error"", errors berisi catatan_internal wajib",Superadmin
89,FR-LAPOR-02,FSD-15.2,TS-BE-N089,Nonaktifkan Campaign — Alasan kosong,PATCH /api/v1/superadmin/campaigns/{id}/disable,POST,SUPERADMIN,"id: valid, alasan_penonaktifan:""""",422,"status:""error"", errors berisi alasan_penonaktifan wajib",Superadmin
90,FR-LAPOR-04,FSD-15.4,TS-BE-N090,Detail Klarifikasi — ID tidak ditemukan,PATCH /api/v1/superadmin/campaign-clarifications/{id},GET,SUPERADMIN,id: 99999,404,"status:""error"", message: klarifikasi tidak ditemukan",Superadmin
91,FR-LAPOR-04,FSD-15.4,TS-BE-N091,Tutup Permanen — Alasan kosong,PATCH /api/v1/superadmin/campaign-clarifications/{id}/close-permanently,POST,SUPERADMIN,"id: valid, alasan_penutupan_permanen:""""",422,"status:""error"", errors berisi alasan wajib",Superadmin
92,FR-LAPOR-04,FSD-15.4,TS-BE-N092,Reaktivasi — Campaign sudah ditutup permanen,PATCH /api/v1/superadmin/campaign-clarifications/{id}/reactivate,POST,SUPERADMIN,id: klarifikasi pada campaign ditutup_permanen,409,"status:""error"", message: campaign ditutup permanen tidak dapat diaktifkan",Superadmin
93,FR-LAPOR-04,FSD-15.4,TS-BE-N093,Tindak Lanjut Klarifikasi — Role KOMUNITAS,PATCH /api/v1/superadmin/campaign-clarifications/{id}/reactivate,POST,KOMUNITAS,id: valid,403,"status:""error"", message: hanya superadmin",Superadmin
94,FR-PROF-09,FSD-2.9,TS-BE-N094,Edit Profil Superadmin — Nama kosong,PATCH /api/v1/superadmin/profile,PATCH,SUPERADMIN,"nama_lengkap:""""",422,"status:""error"", errors berisi nama_lengkap wajib",Superadmin
95,FR-PROF-10,FSD-2.10,TS-BE-N095,Ganti Password Superadmin — Password lama salah,PATCH /api/v1/superadmin/profile/password,PATCH,SUPERADMIN,"password_lama:wrong, password_baru:""New456"", password_baru_confirmation:""New456""",400,"status:""error"", message: password lama salah",Superadmin
96,FR-PROF-10,FSD-2.10,TS-BE-N096,Ganti Password Superadmin — Konfirmasi tidak cocok,PATCH /api/v1/superadmin/profile/password,PATCH,SUPERADMIN,"password_lama:valid, password_baru:""New456"", password_baru_confirmation:""Diff""",422,"status:""error"", errors berisi konfirmasi tidak cocok",Superadmin
97,FR-MON-02,FSD-7.2,TS-BE-N097,Monitoring Internal — Role DONATUR,PATCH /api/v1/campaigns/{id}/internal,GET,DONATUR,id: campaign aktif,403,"status:""error"", message: akses ditolak, hanya superadmin",Monitoring
98,FR-MON-02,FSD-7.2,TS-BE-N098,Monitoring Internal — Role KOMUNITAS,PATCH /api/v1/campaigns/{id}/internal,GET,KOMUNITAS,id: campaign milik komunitas sendiri,403,"status:""error"", message: akses ditolak",Monitoring
99,FR-MON-04,FSD-7.4,TS-BE-N099,Hapus Post — Role KOMUNITAS,PATCH /api/v1/campaigns/updates/{updateId},DELETE,KOMUNITAS,updateId: valid,403,"status:""error"", message: hanya superadmin yang dapat menghapus",Monitoring
100,FR-MON-04,FSD-7.4,TS-BE-N100,Hapus Post — Post tidak ditemukan,PATCH /api/v1/campaigns/updates/{updateId},DELETE,SUPERADMIN,updateId: 99999,404,"status:""error"", message: post tidak ditemukan",Monitoring
101,FR-DASH-KOM-01,FSD-10.1,TS-BE-N101,Dashboard Komunitas — Role DONATUR,PATCH /api/v1/communities/dashboard,GET,DONATUR,Token valid,403,"status:""error"", message: akses ditolak",Dashboard
102,FR-MIL-01,FSD-MIL-01,TS-BE-N102,Submit Laporan — Pencairan belum selesai,PATCH /api/v1/communities/withdrawals/{id}/laporan,POST,KOMUNITAS,"id: pencairan berstatus disetujui (belum selesai)",409,"status:""error"", message: pencairan belum selesai",Milestone
103,FR-MIL-01,FSD-MIL-01,TS-BE-N103,Submit Laporan — Deskripsi kurang dari 20 karakter,PATCH /api/v1/communities/withdrawals/{id}/laporan,POST,KOMUNITAS,"jumlah_penerima:10, deskripsi_penggunaan:""Singkat"", file_dokumentasi_url:[""url""]",422,"status:""error"", errors berisi deskripsi minimal 20 karakter",Milestone
104,FR-MIL-01,FSD-MIL-01,TS-BE-N104,Submit Laporan — Dokumentasi kosong,PATCH /api/v1/communities/withdrawals/{id}/laporan,POST,KOMUNITAS,"jumlah_penerima:10, deskripsi_penggunaan:""Penjelasan lengkap lebih dari 20 karakter"", file_dokumentasi_url:[]",422,"status:""error"", message: minimal 1 dokumentasi",Milestone
105,FR-MIL-03,FSD-MIL-03,TS-BE-N105,Tambah Penerima — Laporan sudah diverifikasi,PATCH /api/v1/communities/laporan/{id}/penerima,POST,KOMUNITAS,"id: laporan berstatus diverifikasi, nama:""Test"", nik:""1234567890123456"", kode_wilayah:""327604"", nominal_diterima:100000",409,"status:""error"", message: laporan sudah diverifikasi",Milestone
