TEST SCRIPT REPORT — BACKEND (NEGATIF),,,,,,,,,,,,,
Nama Kelompok,,:,Kelompok 3,,,,,,,,,,
Kelas,,:,A,,,,,,,,,,
Angkatan,,:,2024,,,,,,,,,,
Nama Sistem,,:,BERBAGIVE,,,,,,,,,,
Tipe Pengujian: Backend,,,,,,,Skenario: Negatif,,,,,,
,,,,,,,,,,,,,
No.,SRS Ref.,FSD Ref.,TSD Ref.,No. Test Script,Nama Fungsional,URL / Endpoint,Parameter / Value,Ekspektasi,Hasil Aktual,Tgl Test,PIC,Screenshot Hasil,Pass / Failed
23,FR-AUTH-02,FSD-1.2 Registrasi Akun Sebagai Komunitas,TSD-1.2,TS-BE-N023,Register Komunitas,/api/v1/auth/register/komunitas,"email, password, passwork_confirm, username nama_pj, nama_lembaga, id_jenis_lembaga, deskripsi, kode wilayah, rt, rw, kode_pos, alamt detail, nomor-kontak, link_medsos, foto lembaga _url, nama_bank, nomor_rekening, foto_buku)rekekning_url, berkas_legalitas_url, identitias_pj_Url, surat_pernyataan__url, dokumentasi kegiatan_url","Response 400, Format file tidak didukung",,,,,
24,"FR-PROF-05, FR-MON-08","FSD-2.5 Lihat Profil Komunitas oleh Publik, FSD-7.8 Halaman Profil Komunitas",TSD-2.5,TS-BE-N024,Lihat Profil Komunitas,/api/v1/komunitas/{id}/profil-publik,id komunitas,"Response 404, komunitas tidak ditemukan",,,,,
25,FR-PROF-06,FSD-2.6 Edit Profil Komunitas,TSD-2.6,TS-BE-N025,Edit Profil Komunitas,/api/v1/komunitas/profil/edit,"deskripis, nomor_kontak, link_medsos, foto_lembaga_url, alamat_detail, rt, rw, kode_pos","Response 400, mohon lengkapi profile",,,,,
26,FR-PROF-06,FSD-2.6 Edit Profil Komunitas,TSD-2.6,TS-BE-N026,Edit Profil Komunitas,/api/v1/komunitas/profil/edit,"deskripis, nomor_kontak, link_medsos, foto_lembaga_url, alamat_detail, rt, rw, kode_pos","Response 401, Token tidak valud atau expired",,,,,
27,FR-PROF-06,FSD-2.6 Edit Profil Komunitas,TSD-2.6,TS-BE-N027,Edit Profil Komunitas,/api/v1/komunitas/profil/edit,"deskripis, nomor_kontak, link_medsos, foto_lembaga_url, alamat_detail, rt, rw, kode_pos","Response 403, Perubahan nama organisasi harus diajukan ke superadmin",,,,,
28,"FR-PROF-07, FR_VERIF-02","FSD-2.7 Kelola Informasi Rekening, FSD-14.2 Riwayat Perubahan Rekening",TSD-2.7,TS-BE-N028,Kelola Rekening,/api/v1/komunitas/rekening/riwayat,"page, per_pager, status","Response 401, Token tidak valud atau expired",,,,,
29,"FR-PROF-07, FR_VERIF-02","FSD-2.7 Kelola Informasi Rekening, FSD-14.2 Riwayat Perubahan Rekening",TSD-2.7,TS-BE-N029,Kelola Rekening,/api/v1/komunitas/rekening/riwayat,"page, per_pager, status","Response 404, Belum ada riwayat peubahan rekening",,,,,
30,FR-PROF-07,FSD-2.7 Kelola Informasi Rekening,TSD-2.7,TS-BE-N030,Ajukan Perubahan Rekening,/api/v1/komunitas/rekening/ajukan-perubahan,"nama_bank_baru, Nomor_rekening_baru, foto_buku_rekekning_url, alasan_perubaha","Response 400, data rekening tidak lengkap",,,,,
31,FR-PROF-07,FSD-2.7 Kelola Informasi Rekening,TSD-2.7,TS-BE-N031,Ajukan Perubahan Rekening,/api/v1/komunitas/rekening/ajukan-perubahan,"nama_bank_baru, Nomor_rekening_baru, foto_buku_rekekning_url, alasan_perubaha","Response 401, Token tidak valud atau expired",,,,,Failed
32,FR-PROF-07,FSD-2.7 Kelola Informasi Rekening,TSD-2.7,TS-BE-N032,Ajukan Perubahan Rekening,/api/v1/komunitas/rekening/ajukan-perubahan,"nama_bank_baru, Nomor_rekening_baru, foto_buku_rekekning_url, alasan_perubaha","Response 409, masih ada pengajuan perubahan rekening yang menungguverifikasi",,,,,Failed
33,"FR-PROF-08, FR-CAMP-05","FSD-2.8 Lihat Riwayat Campaign, FSD-5.5 Riwayat Campaign Komunitas",TSD-2.8,TS-BE-N033,Lihat Riwayat Campaign,/api/v1/komunitas/campaign/riwayat,id _campaign,"Response 401, Token tidak valud atau expired",,,,,Failed
34,"FR-PROF-08, FR-CAMP-05","FSD-2.8 Lihat Riwayat Campaign, FSD-5.5 Riwayat Campaign Komunitas",TSD-2.8,TS-BE-N034,Lihat Riwayat Campaign,/api/v1/komunitas/campaign/riwayat,id _campaign,"Response 404, Belum ada campaign",,,,,Failed
35,FR-DON-03,FSD-4.3 Tampilan Donatur di Halaman Campaign,TSD-4.3,TS-BE-N035,Tampilkan Donatur,/api/v1/campaign/{id}/donatur,id _campaign,"Response 404, Belum ad aodnatur",,,,,Failed
36,FR-CAMP-01,FSD-5.1 Pengajuan Campaign,TSD-5.1,TS-BE-N036,Penguan Campaign,/api/v1/komunitas/campaign/ajukan,"judul, id_kategori, deskripsi, target_dana, tanggal_mulai, tanggal_selesai, foto_campaign_url, kode_wilayah, target_audiens, tipe_distribusi, url_rab","Response 400, field wajib belum diisi",,,,,Failed
37,FR-CAMP-01,FSD-5.1 Pengajuan Campaign,TSD-5.1,TS-BE-N037,Penguan Campaign,/api/v1/komunitas/campaign/ajukan,"judul, id_kategori, deskripsi, target_dana, tanggal_mulai, tanggal_selesai, foto_campaign_url, kode_wilayah, target_audiens, tipe_distribusi, url_rab","Respose 400, Format file Tab tidak valid",,,,,Failed
38,FR-CAMP-01,FSD-5.1 Pengajuan Campaign,TSD-5.1,TS-BE-N038,Penguan Campaign,/api/v1/komunitas/campaign/ajukan,"judul, id_kategori, deskripsi, target_dana, tanggal_mulai, tanggal_selesai, foto_campaign_url, kode_wilayah, target_audiens, tipe_distribusi, url_rab","Resposne, atrget dana minimal 10 juta",,,,,Failed
39,FR-CAMP-01,FSD-5.1 Pengajuan Campaign,TSD-5.1,TS-BE-N039,Penguan Campaign,/api/v1/komunitas/campaign/ajukan,"judul, id_kategori, deskripsi, target_dana, tanggal_mulai, tanggal_selesai, foto_campaign_url, kode_wilayah, target_audiens, tipe_distribusi, url_rab","Response 401, Token tidak valud atau expired",,,,,Failed
40,FR-CAMP-04,FSD-5.4 Tampilan Campaign ke Publik,TSD-5.4,TS-BE-N040,Tampilan Campaign ke publik,/api/v1/campaign,id_campaign,"Response 404, Belum ada campaign",,,,,Failed
41,FR-MON-01,FSD-7.1 Monitoring Campaign Layer Publik,TSD-7.1,TS-BE-N041,Monitoring Layer Publik,/api/v1/campaign/{id}/detail-publik,id_campign,"Response 403, campaign tidak dapat diakses publik",,,,,
42,FR-MON-01,FSD-7.1 Monitoring Campaign Layer Publik,TSD-7.1,TS-BE-N042,Monitoring Layer Publik,/api/v1/campaign/{id}/detail-publik,id_campaing,"Response 404, campaign tidak ditemiukan",,,-906,,
43,FR-MON-03,FSD-7.3 Post Update Campaign oleh Komunitas,TSD-7.3,TS-BE-N043,Popt Update,/api/v1/komunitas/campaign/{id}/update-post,id_campaing,"Response 400, Judul dan Konten wajib diisi",,,0,,
44,FR-MON-03,FSD-7.3 Post Update Campaign oleh Komunitas,TSD-7.3,TS-BE-N044,Popt Update,/api/v1/komunitas/campaign/{id}/update-post,id_campaing,"Response 400, jumlah foto melebihi batas maksimal 10",,,43,,
45,FR-MON-03,FSD-7.3 Post Update Campaign oleh Komunitas,TSD-7.3,TS-BE-N045,Popt Update,/api/v1/komunitas/campaign/{id}/update-post,id_campaing,"Response 401, Token tidak valid atau expired",,,,,
46,FR-MON-03,FSD-7.3 Post Update Campaign oleh Komunitas,TSD-7.3,TS-BE-N046,Popt Update,/api/v1/komunitas/campaign/{id}/update-post,id_campaing,"Respobse 403, tidak dapat membaut upadte pada campagin selesai/ ditolaj",,,,,
47,FR-DASH-KOM-01,FSD-10.1 Ringkasan Dashboard Komunitas,TSD-10.1,TS-BE-N047,Ringkasan Dashboard Komunitas,/api/v1/komunitas/dashboard,id komunitas,"Response 401, Token tidak valid atau expired",,,,,
48,FR-LAPOR-03,FSD-15.3 Klarifikasi Campaign oleh Komunitas,TSD-15.3,TS-BE-N048,Klarifikasi Campaign oleh komunitas,/api/v1/komunitas/campaign/{id}/klarifikasi,"id campaign, id komunitas","Response 400, Batas waktu kalrifikasi sudah pernah dikirim",,,,,
49,FR-LAPOR-03,FSD-15.3 Klarifikasi Campaign oleh Komunitas,TSD-15.3,TS-BE-N049,Klarifikasi Campaign oleh komunitas,/api/v1/komunitas/campaign/{id}/klarifikasi,"id campaign, id komunitas","Response 400, Klarifikasi sudah pernah dikirim",,,,,
50,FR-LAPOR-03,FSD-15.3 Klarifikasi Campaign oleh Komunitas,TSD-15.3,TS-BE-N050,Klarifikasi Campaign oleh komunitas,/api/v1/komunitas/campaign/{id}/klarifikasi,"id campaign, id komunitas","Reponse 400, teks kalrifikasi wajib diisi",,,,,
51,FR-LAPOR-03,FSD-15.3 Klarifikasi Campaign oleh Komunitas,TSD-15.3,TS-BE-N051,Klarifikasi Campaign oleh komunitas,/api/v1/komunitas/campaign/{id}/klarifikasi,"id campaign, id komunitas","Response 401, Token tidak valid atau expired",,,,,
52,FR-LAPOR-03,FSD-15.3 Klarifikasi Campaign oleh Komunitas,TSD-15.3,TS-BE-N052,Klarifikasi Campaign oleh komunitas,/api/v1/komunitas/campaign/{id}/klarifikasi,"id campaign, id komunitas","Response 403, akses ditolak",,,,,
53,FR-LAPOR-03,FSD-15.3 Klarifikasi Campaign oleh Komunitas,TSD-15.3,TS-BE-N053,Klarifikasi Campaign oleh komunitas,/api/v1/komunitas/campaign/{id}/klarifikasi,"id campaign, id komunitas","Reposne 500, gagal mengirim kalrifikasi",,,,,
54,FR-AUTH-01,FSD-1.1,TSD-1,TS-BE-N054,Register User,api/v1/auth/register-user,"username, email, password","Status 400, message: 'format email tidak valid atau password tidak memenuhi ketentuan'",,,,,Failed
55,FR-AUTH-01,FSD-1.1,TSD-1,TS-BE-N055,Register User,api/v1/auth/register-user,"username, email, password","Status 409, message: 'email sudah digunakan'",,,,,Failed
56,FR-AUTH-03,FSD-1.3,TSD-2,TS-BE-N056,Login User,/api/v1/auth/login,"email, password","Status 401, message: 'Email atau password salah'",,,,,Failed
57,FR-AUTH-03,FSD-1.3,TSD-2,TS-BE-N057,Login User,/api/v1/auth/login,"email, password","Status 403, message: 'Akun belum terverifikasi / akun tidak aktif / akun sedang dalam proses review'",,,,,Failed
58,FR-AUTH-03,FSD-1.3,TSD-2,TS-BE-N058,Login User,/api/v1/auth/login,"email, password","Status 423, message: 'Akun dikunci sementara selama 15 menit'",,,,,Failed
59,FR-AUTH-04,FSD-1.4,TSD-3,TS-BE-N059,Logout User,/api/v1/auth/logout,token,"Status 401, message: 'Session tidak valid atau sudah kedaluwarsa'",,,,,Failed
60,FR-AUTH-05,FSD-1.5,TSD-4,TS-BE-N060,Lupa Password User,/api/v1/auth/forgot-password,email,"Status 400, message: 'Format email tidak valid',",,,,,Failed
61,FR-AUTH-05,FSD-1.5,TSD-4,TS-BE-N061,Reset Password User,/api/v1/auth/reset-password,"token, password baru, konfirmasi password","Status 400, message: 'Konfirmasi password tidak cocok atau password tidak valid'",,,,,Failed
62,FR-AUTH-05,FSD-1.5,TSD-4,TS-BE-N062,Reset Password User,/api/v1/auth/reset-password,"token, password baru, konfirmasi password","Status 410, message: 'Link reset password telah kedaluwarsa'",,,,,Failed
63,FR-AUTH-06,FSD-1.6,TSD-6,TS-BE-N063,Kirim Ulang Email Verifikasi,/api/v1/auth/resend-verification,email,"Status 400, message: 'Akun sudah terverifikasi'",,,,,Failed
64,FR-AUTH-06,FSD-1.6,TSD-6,TS-BE-N064,Kirim Ulang Email Verifikasi,/api/v1/auth/resend-verification,email,"Status 429, message: 'Batas pengiriman ulang email verifikasi telah tercapai'",,,,,Failed
65,FR-PROF-01,FSD-2.1,TSD-7,TS-BE-N065,Melihat Profil Sendiri,/api/v1/users/me,"token, nama lengkap, nomor telepon, jenis kelamin, tanggal lahir, kode wilayah","Status 401, message: 'Unauthorized'",,,,,Failed
66,FR-PROF-01,FSD-2.1,TSD-7,TS-BE-N066,Melihat Profil Sendiri,/api/v1/users/me,"token, nama lengkap, nomor telepon, jenis kelamin, tanggal lahir, kode wilayah","Status 403, message: 'Akses profil ditolak'",,,,,Failed
67,FR-PROF-02,FSD-2.2,TSD-8,TS-BE-N067,Edit Profil Sendiri,/api/v1/users/me,"token, nama lengkap, nomor telepon, jenis kelamin, tanggal lahir, kode wilayah","Status 401, message: 'Unauthorized'",,,,,Failed
68,FR-PROF-02,FSD-2.2,TSD-8,TS-BE-N068,Edit Profil Sendiri,/api/v1/users/me,"token, nama lengkap, nomor telepon, jenis kelamin, tanggal lahir, kode wilayah","Status 400, message: 'Format nomor telepon tidak valid atau ukuran foto melebihi batas'",,,,,Failed
69,FR-PROF-03,FSD-2.3,TSD-9,TS-BE-N069,Ganti Password dari Profil,/api/v1/users/me/password,"token, password lama, password baru konfirmasi password","Status 401, message: 'Password lama salah'",,,,,Failed
70,FR-PROF-03,FSD-2.3,TSD-9,TS-BE-N070,Ganti Password dari Profil,/api/v1/users/me/password,"token, password lama, password baru konfirmasi password","Status 400, message: 'Password baru tidak valid atau konfirmasi password tidak cocok'",,,,,Failed
71,FR-PROF-04,FSD-2.4,TSD-10,TS-BE-N071,Lihat Riwayat Donasi,/api/v1/users/me/donations,token,"Status 404, message: 'Belum ada riwayat donasi'",,,,,Failed
72,FR-MON-01,FSD-7.1,TSD-11,TS-BE-N072,Monitoring campaign layer publik,/api/v1/campaigns/{id}/public,-,"Status 401, message: 'Unauthorized'",,,,,Failed
73,FR-MON-01,FSD-7.1,TSD-11,TS-BE-N073,Monitoring campaign layer publik,/api/v1/campaigns/{id}/public,-,"Status 403, message: 'Halaman tidak tersedia'",,,,,Failed
74,FR-MON-05,FSD-7.5,TSD-15,TS-BE-N074,Laporkan post update,/api/v1/campaigns/updates/{updateId}/reports,alasan laporan,"Status 409, message: 'Anda sudah melaporka post ini'",,,,,Failed
75,FR-MON-06,FSD-7.6,TSD-16,TS-BE-N075,Follow Komunitas,/api/v1/communities/{communityId}/follow,-,"Status 401, message: 'Anda harus login untuk mengikuti komunitas'",,,,,Failed
76,FR-MON-06,FSD-7.6,TSD-16,TS-BE-N076,Follow Komunitas,/api/v1/communities/{communityId}/follow,-,"Status 409, message: 'Tidak dapat mengulangi aksi yang sama'",,,,,Failed
77,FR-MON-07,FSD-7.7,TSD-17,TS-BE-N077,Unfollow Komunitas,/api/v1/communities/{communityId}/follow,konfirmasi,"Status 409, message: 'Tidak dapat mengulangi aksi yang sama'",,,,,Failed
78,FR-SEARCH-01,FSD-8.1,TSD-19,TS-BE-N078,Pencarian Campaign,/api/v1/campaigns/search,-,-,,,,,Failed
79,FR-SEARCH-02,FSD-8.2,TSD-20,TS-BE-N079,Pencarian Komunitas,/api/v1/communities/search,-,-,,,,,Failed
80,FR-NOTIF-01,FSD-9.1,TSD-21,TS-BE-N080,Tampilan Daftar Notifikasi,/api/v1/notifications,-,"Status 401, message: 'Silakan login untuk melihat notifikasi'",,,,,Failed
81,FR-NOTIF-01,FSD-9.1,TSD-22,TS-BE-N081,Tandai satu notifikasi sudah dibaca,/api/v1/notifications/{notificationId}/read,-,"Status 401, message: 'Silakan login'",,,,,Failed
82,FR-NOTIF-01,FSD-9.1,TSD-23,TS-BE-N082,Tandai semua notifikasi sudah dibaca,/api/v1/notifications/read-all,-,"Status 401, message: 'Silakan login'",,,,,Failed
83,FR-NOTIF-02,FSD-9.2,,TS-BE-N083,Generate notifikasi untuk user,/api/v1/internal/notifications/user-events,-,-,,,,,Failed
84,FR-LAPOR-01,FSD-15.1,,TS-BE-N084,Laporkan Campaign,/api/v1/campaigns/{id}/reports,-,"Status 401,  message: 'Anda harus login untuk melaporkan campaign'",,,,,Failed
85,FR-LAPOR-01,FSD-15.1,,TS-BE-N085,Laporkan Campaign,/api/v1/campaigns/{id}/reports,-,"Status 409, message: 'Kamu sudah pernah melaporkan campaign ini'",,,,,Failed
86,FR-LAPOR-01,FSD-15.1,,TS-BE-N086,Laporkan Campaign,/api/v1/campaigns/{id}/reports,-,"Status 403, message: 'Campaign sudah tidak dapat dilaporkan'",,,,,Failed
87,FR-DASH-SA-01,FSD-11.1,TSD-DASH-01,TS-BE-N087,Dashboard tanpa token,GET /api/v1/superadmin/dashboard,Authorization kosong,Status 401. Sistem menolak akses dan meminta login kembali.,,,,,
88,FR-DASH-SA-01,FSD-11.1,TSD-DASH-01,TS-BE-N088,Dashboard dengan role bukan superadmin,GET /api/v1/superadmin/dashboard,Authorization token_donatur_valid,Status 403. Akses ditolak karena bukan superadmin.,,,,,
89,FR-DASH-SA-01,FSD-11.1,TSD-DASH-02,TS-BE-N089,Statistik dashboard role bukan superadmin,GET /api/v1/superadmin/dashboard/statistics,Authorization token_komunitas_valid,Status 403. Akses statistik dashboard ditolak.,,,,,
90,FR-DASH-SA-02,FSD-11.2,TSD-DASH-04,TS-BE-N090,Grafik dengan format tanggal tidak valid,GET /api/v1/superadmin/analytics/platform,tanggal_mulai=abc; tanggal_selesai=2026-01-31,Status 422 atau 400. Sistem menampilkan error rentang tanggal tidak valid.,,,,,
91,FR-DASH-SA-02,FSD-11.2,TSD-DASH-04,TS-BE-N091,Grafik dengan tanggal mulai lebih besar,GET /api/v1/superadmin/analytics/platform,tanggal_mulai=2026-02-01; tanggal_selesai=2026-01-01,Status 422 atau 400. Sistem menampilkan error rentang tanggal tidak valid.,,,,,
92,FR-ADMIN-01,FSD-12.1,TSD-DON-01,TS-BE-N092,List Donatur tanpa role superadmin,GET /api/v1/superadmin/donors,Authorization token_komunitas_valid,Status 403. Akses data Donatur ditolak.,,,,,
93,FR-ADMIN-01,FSD-12.1,TSD-DON-02,TS-BE-N093,Detail Donatur tidak ditemukan,GET /api/v1/superadmin/donors/{id},id=999999; token superadmin valid,Status 404. Data Donatur tidak ditemukan.,,,,,
94,FR-ADMIN-01,FSD-12.1,TSD-DON-03,TS-BE-N094,Ubah status Donatur tanpa is_active,PATCH /api/v1/superadmin/donors/{id}/status,id=101; body={},Status 422. Field is_active wajib diisi.,,,,,
95,FR-ADMIN-01,FSD-12.1,TSD-DON-03,TS-BE-N095,Ubah status Donatur dengan tipe data salah,PATCH /api/v1/superadmin/donors/{id}/status,id=101; body={is_active:'aktif'},Status 422. is_active harus boolean.,,,,,
96,FR-ADMIN-02,FSD-12.2,TSD-KOM-01,TS-BE-N096,List Komunitas tanpa token,GET /api/v1/superadmin/communities,Authorization kosong,Status 401. Sistem meminta login kembali.,,,,,
97,FR-ADMIN-02,FSD-12.2,TSD-KOM-02,TS-BE-N097,Detail Komunitas tidak ditemukan,GET /api/v1/superadmin/communities/{id},id=999999; token superadmin valid,Status 404. Data Komunitas tidak ditemukan.,,,,,
98,FR-ADMIN-03,FSD-12.3,TSD-TEMP-02,TS-BE-N098,Upload template tanpa jenis_template,POST /api/v1/superadmin/document-templates,nama_template=Template RAB; file_template=.xlsx; versi_template=v2,Status 422. Jenis template wajib diisi.,,,,,
99,FR-ADMIN-03,FSD-12.3,TSD-TEMP-02,TS-BE-N099,Upload template tanpa token superadmin,POST /api/v1/superadmin/document-templates,Authorization kosong; file valid,Status 401. Sistem meminta login kembali.,,,,,
100,FR-ADMIN-04,FSD-12.4,TSD-KAT-02,TS-BE-N100,Tambah kategori nama kosong,POST /api/v1/superadmin/campaign-categories,"body={nama_kategori:'', deskripsi:'test'}",Status 422. Nama kategori wajib diisi.,,,,,
101,FR-ADMIN-04,FSD-12.4,TSD-KAT-02,TS-BE-N101,Tambah kategori duplikat,POST /api/v1/superadmin/campaign-categories,body={nama_kategori:'Pendidikan'} saat nama sudah ada,Status 422 atau 409. Nama kategori sudah tersedia.,,,,,
102,FR-ADMIN-04,FSD-12.4,TSD-KAT-04,TS-BE-N102,Ubah status kategori tanpa is_active,PATCH /api/v1/superadmin/campaign-categories/{id}/status,id=10; body={},Status 422. is_active wajib diisi.,,,,,
103,FR-ADMIN-04,FSD-12.4,TSD-KAT-05,TS-BE-N103,Hapus permanen kategori campaign,DELETE /api/v1/superadmin/campaign-categories/{id},id=10,Status 405 atau 403. Penghapusan permanen tidak diperbolehkan.,,,,,
104,FR-ADMIN-05,FSD-12.5,TSD-EXP-01,TS-BE-N104,Export rentang tanggal tidak valid,POST /api/v1/superadmin/reports/financial/export,tanggal_mulai=2026-02-01; tanggal_selesai=2026-01-01; format_export=excel,Status 422 atau 400. Sistem menampilkan error rentang tanggal tidak valid.,,,,,
105,FR-ADMIN-05,FSD-12.5,TSD-EXP-01,TS-BE-N105,Export format tidak didukung,POST /api/v1/superadmin/reports/financial/export,tanggal_mulai=2026-01-01; tanggal_selesai=2026-01-31; format_export=csv,Status 422. Format export tidak valid.,,,,,
106,FR-ADMIN-05,FSD-12.5,TSD-EXP-01,TS-BE-N106,Export tanpa token,POST /api/v1/superadmin/reports/financial/export,Authorization kosong; body valid,Status 401. Sistem meminta login kembali.,,,,,
107,FR-REG-01,FSD-13.1,TSD-REG-01,TS-BE-N107,List pendaftaran tanpa token,GET /api/v1/superadmin/community-registrations,Authorization kosong,Status 401. Sistem meminta login kembali.,,,,,
