TEST SCRIPT REPORT — BACKEND (POSITIF),,,,,,,,,,,,
Nama Kelompok,,:,Kelompok 3,,,,,,,,,
Kelas,,:,A,,,,,,,,,
Angkatan,,:,2024,,,,,,,,,
Nama Sistem,,:,BERBAGIVE,,,,,,,,,
Tipe Pengujian: Backend,,,,,,,Skenario: Positif,,,,,,
,,,,,,,,,,,,
No.,SRS Ref.,FSD Ref.,No. Test Script,Nama Fungsional,URL / Endpoint,HTTP Method,Role / Auth,Parameter / Body,Ekspektasi Status,Ekspektasi Response,Kategori
19,FR-MON-03,FSD-7.3,TS-BE-P019,Post Update Campaign,PATCH /api/v1/communities/campaigns/{id}/updates,POST,KOMUNITAS,"judul_update:""Update Minggu 1"", konten:""Distribusi tahap awal telah dilakukan"", foto_urls:[""https://storage/foto1.jpg""]",201,"status:""success"", data berisi id_update, judul_update, konten",Kampanye
20,FR-LAPOR-03,FSD-15.3,TS-BE-P020,Klarifikasi Campaign,PATCH /api/v1/communities/campaigns/{id}/clarifications,POST,KOMUNITAS,"teks_klarifikasi:""Penjelasan terkait laporan""",200,"status:""success"", message berisi klarifikasi berhasil dikirim",Kampanye
21,FR-CAIR-01,FSD-6.1,TS-BE-P021,Ajukan Pencairan Dana,PATCH /api/v1/communities/withdrawals,POST,KOMUNITAS,"id_campaign:1, nominal:5000000, keterangan:""Pencairan tahap 1"", url_proposal:""https://storage/proposal.pdf"", nama_bank_tujuan:""BCA"", nomor_rekening_tujuan:""1234567890""",201,"status:""success"", data berisi id_pencairan dan status menunggu_review",Pencairan
22,FR-CAIR-01,FSD-6.1,TS-BE-P022,List Pencairan Komunitas,PATCH /api/v1/communities/withdrawals,GET,KOMUNITAS,Token valid,200,"status:""success"", data berisi bank aktif, daftar campaign, riwayat pencairan",Pencairan
23,FR-DASH-KOM-01,FSD-10.1,TS-BE-P023,Dashboard Komunitas,PATCH /api/v1/communities/dashboard,GET,KOMUNITAS,Token valid,200,"status:""success"", data berisi total_campaign, total_donatur, total_dana, pencairan_pending",Dashboard
24,FR-DON-03,FSD-4.3,TS-BE-P024,List Donatur Campaign,PATCH /api/v1/campaigns/{id}/donors,GET,Tanpa Auth,"id: id_campaign valid, page:1, per_page:15",200,"status:""success"", data array donatur + pagination",Kampanye Publik
25,FR-MON-01,FSD-7.1,TS-BE-P025,Detail Campaign Publik,PATCH /api/v1/campaigns/{id}/public,GET,Tanpa Auth,id: id_campaign valid dan aktif,200,"status:""success"", data berisi campaign, komunitas, update_post",Kampanye Publik
26,FR-MON-01,FSD-7.1,TS-BE-P026,Monitoring Publik Campaign,PATCH /api/v1/campaigns/{id}/monitoring,GET,Tanpa Auth,"id: id_campaign valid, page:1, per_page:15",200,"status:""success"", data berisi judul, dana_terkumpul, target_dana, progress_persen, jumlah_donatur, donatur_terbaru",Kampanye Publik
27,FR-SEARCH-01,FSD-8.1,TS-BE-P027,Cari Campaign,PATCH /api/v1/campaigns/search,GET,Tanpa Auth,"keyword:""pendidikan"", kategori:1, status:""aktif"", page:1",200,"status:""success"", data array campaign + pagination",Search
28,FR-SEARCH-02,FSD-8.2,TS-BE-P028,Cari Komunitas,PATCH /api/v1/communities/search,GET,Tanpa Auth,"keyword:""peduli"", page:1",200,"status:""success"", data array komunitas + pagination",Search
29,FR-SEARCH-03,FSD-8.3,TS-BE-P029,List Kategori Campaign,PATCH /api/v1/campaign-categories,GET,Tanpa Auth,Token tidak diperlukan,200,"status:""success"", data array kategori aktif",Master Data
30,FR-SEARCH-04,FSD-8.4,TS-BE-P030,List Jenis Lembaga,PATCH /api/v1/jenis-lembaga,GET,Tanpa Auth,Token tidak diperlukan,200,"status:""success"", data array jenis lembaga",Master Data
31,FR-SEARCH-05,FSD-8.5,TS-BE-P031,List Wilayah,PATCH /api/v1/wilayah,GET,Tanpa Auth,Token tidak diperlukan,200,"status:""success"", data array wilayah",Master Data
32,SRS-DON-01,FSD-DON-01,TS-BE-P032,Buat Donasi,PATCH /api/v1/donations,POST,DONATUR,"id_campaign:1, nominal:50000, metode_pembayaran:""qris"", is_anonim:false, nama_tampil:""Fatih""",201,"status:""success"", data berisi id_donasi, nomor_transaksi, status_pembayaran:""pending""",Donasi
33,SRS-DON-01,FSD-DON-01,TS-BE-P033,Buat Donasi Anonim,PATCH /api/v1/donations,POST,DONATUR,"id_campaign:1, nominal:100000, metode_pembayaran:""gopay"", is_anonim:true",201,"status:""success"", data berisi id_donasi, status_pembayaran:""pending"", nama_tampil null",Donasi
34,SRS-DON-02,FSD-DON-02,TS-BE-P034,Lihat Riwayat Donasi via Donations,PATCH /api/v1/donations,GET,DONATUR,"page:1, per_page:15",200,"status:""success"", data array donasi + pagination",Donasi
35,SRS-DON-03,FSD-DON-03,TS-BE-P035,Detail Donasi,PATCH /api/v1/donations/{id},GET,DONATUR,id: id_donasi milik sendiri,200,"status:""success"", data berisi judul_campaign, nominal, metode_pembayaran, status_pembayaran, tanggal",Donasi
36,SRS-DON-04,FSD-DON-04,TS-BE-P036,Bukti Donasi (Receipt),PATCH /api/v1/donations/{id}/receipt,GET,DONATUR,id: id_donasi berstatus berhasil milik sendiri,200,"status:""success"", data berisi nomor_transaksi, judul_campaign, nominal, metode_pembayaran",Donasi
37,SRS-DON-04,FSD-DON-04,TS-BE-P037,Bukti Donasi PDF,PATCH /api/v1/donations/{id}/receipt-pdf,GET,DONATUR,id: id_donasi berstatus berhasil milik sendiri,200,Binary file PDF dengan Content-Type: application/pdf,Donasi
38,SRS-DON-05,FSD-DON-05,TS-BE-P038,Update Status Pembayaran Berhasil,PATCH /api/v1/donations/{id}/payment-status,PATCH,DONATUR,"id: id_donasi valid, status_pembayaran:""berhasil""",200,"status:""success"", data berisi status_pembayaran:""berhasil""",Donasi
39,SRS-DON-05,FSD-DON-05,TS-BE-P039,Update Status Pembayaran Gagal,PATCH /api/v1/donations/{id}/payment-status,PATCH,DONATUR,"id: id_donasi valid, status_pembayaran:""gagal""",200,"status:""success"", data berisi status_pembayaran:""gagal""",Donasi
40,FR-MON-06,FSD-7.6,TS-BE-P040,Follow Komunitas,PATCH /api/v1/communities/{communityId}/follow,POST,DONATUR,communityId: id_komunitas valid,200,"status:""success"", message berisi berhasil follow",Follow
41,FR-MON-07,FSD-7.7,TS-BE-P041,Unfollow Komunitas,PATCH /api/v1/communities/{communityId}/follow,DELETE,DONATUR,communityId: id_komunitas yang sudah diikuti,200,"status:""success"", message berisi berhasil unfollow",Follow
42,FR-MON-07,FSD-7.7,TS-BE-P042,List Followers Komunitas,PATCH /api/v1/communities/{communityId}/followers,GET,DONATUR,communityId: id_komunitas valid,200,"status:""success"", data array followers",Follow
43,FR-MON-05,FSD-7.5,TS-BE-P043,Laporkan Post Update,PATCH /api/v1/campaigns/updates/{updateId}/reports,POST,DONATUR,"alasan_laporan:""Konten tidak sesuai""",200,"status:""success"", message berisi laporan berhasil dikirim",Report
44,FR-LAPOR-01,FSD-15.1,TS-BE-P044,Laporkan Campaign,PATCH /api/v1/campaigns/{id}/reports,POST,DONATUR,"alasan_laporan:""Informasi menyesatkan"", deskripsi_laporan:""Penjelasan""",200,"status:""success"", message berisi laporan berhasil dikirim",Report
45,FR-NOTIF-01,FSD-9.1,TS-BE-P045,List Notifikasi,PATCH /api/v1/notifications,GET,DONATUR,Token valid,200,"status:""success"", data array notifikasi (terbaru dulu) dengan status baca",Notifikasi
46,FR-NOTIF-01,FSD-9.1,TS-BE-P046,Tandai Satu Notifikasi Dibaca,PATCH /api/v1/notifications/{notificationId}/read,PATCH,DONATUR,notificationId: id valid,200,"status:""success"", notifikasi terpilih berubah jadi sudah dibaca",Notifikasi
47,FR-NOTIF-01,FSD-9.1,TS-BE-P047,Tandai Semua Notifikasi Dibaca,PATCH /api/v1/notifications/read-all,PATCH,DONATUR,Token valid,200,"status:""success"", semua notifikasi berubah jadi sudah dibaca",Notifikasi
48,FR-NOTIF-02,FSD-9.2,TS-BE-P048,Generate Notifikasi User Event,PATCH /api/v1/internal/notifications/user-events,POST,Tanpa Auth,"tipe_event:""donasi_berhasil"", payload:{user_id:1}",200,"status:""success"", notifikasi terkirim ke user",Notifikasi
49,FR-DASH-SA-01,FSD-11.1,TS-BE-P049,Dashboard Superadmin,PATCH /api/v1/superadmin/dashboard,GET,SUPERADMIN,Token valid,200,"status:""success"", data statistik platform, item tindakan, donasi terbaru, review terbaru",Superadmin
50,FR-DASH-SA-01,FSD-11.1,TS-BE-P050,Statistik Dashboard Superadmin,PATCH /api/v1/superadmin/dashboard/statistics,GET,SUPERADMIN,Token valid,200,"status:""success"", data total_user, total_komunitas, total_campaign, total_donasi",Superadmin
51,FR-DASH-SA-01,FSD-11.1,TS-BE-P051,Aktivitas Terbaru Dashboard,PATCH /api/v1/superadmin/dashboard/activities,GET,SUPERADMIN,Token valid,200,"status:""success"", data maks 10 donasi terbaru + 5 keputusan review",Superadmin
52,FR-DASH-SA-02,FSD-11.2,TS-BE-P052,Analytics Platform Default,PATCH /api/v1/superadmin/analytics/platform,GET,SUPERADMIN,Token valid,200,"status:""success"", data grafik donasi, user baru, komunitas baru",Superadmin
53,FR-DASH-SA-02,FSD-11.2,TS-BE-P053,Analytics Platform Rentang Tanggal,PATCH /api/v1/superadmin/analytics/platform,GET,SUPERADMIN,"tanggal_mulai:""2026-01-01"", tanggal_selesai:""2026-01-31""",200,"status:""success"", data grafik dengan agregasi sesuai rentang",Superadmin
54,FR-ADMIN-01,FSD-12.1,TS-BE-P054,List Donatur Superadmin,PATCH /api/v1/superadmin/donors,GET,SUPERADMIN,"page:1, per_page:10",200,"status:""success"", data array user role DONATUR + pagination",Superadmin
55,FR-ADMIN-01,FSD-12.1,TS-BE-P055,Detail Donatur Superadmin,PATCH /api/v1/superadmin/donors/{id},GET,SUPERADMIN,id: id_user donatur valid,200,"status:""success"", data profil + riwayat donasi donatur",Superadmin
56,FR-ADMIN-01,FSD-12.1,TS-BE-P056,Nonaktifkan Donatur,PATCH /api/v1/superadmin/donors/{id}/status,PATCH,SUPERADMIN,"id: id_donatur valid, is_active:false",200,"status:""success"", is_active berubah jadi false",Superadmin
57,FR-ADMIN-01,FSD-12.1,TS-BE-P057,Aktifkan Donatur,PATCH /api/v1/superadmin/donors/{id}/status,PATCH,SUPERADMIN,"id: id_donatur valid, is_active:true",200,"status:""success"", is_active berubah jadi true",Superadmin
58,FR-ADMIN-02,FSD-12.2,TS-BE-P058,List Komunitas Superadmin,PATCH /api/v1/superadmin/communities,GET,SUPERADMIN,"page:1, per_page:10",200,"status:""success"", data array komunitas + pagination",Superadmin
59,FR-ADMIN-02,FSD-12.2,TS-BE-P059,Detail Komunitas Superadmin,PATCH /api/v1/superadmin/communities/{id},GET,SUPERADMIN,id: id_komunitas valid,200,"status:""success"", data profil + riwayat campaign komunitas",Superadmin
60,FR-ADMIN-04,FSD-12.4,TS-BE-P060,List Kategori Campaign Superadmin,PATCH /api/v1/superadmin/campaign-categories,GET,SUPERADMIN,Token valid,200,"status:""success"", data array kategori campaign",Superadmin
61,FR-ADMIN-04,FSD-12.4,TS-BE-P061,Tambah Kategori Campaign,PATCH /api/v1/superadmin/campaign-categories,POST,SUPERADMIN,"nama_kategori:""Pendidikan"", deskripsi:""Campaign bidang pendidikan""",200,"status:""success"", data kategori baru dengan is_active:true",Superadmin
62,FR-ADMIN-04,FSD-12.4,TS-BE-P062,Edit Kategori Campaign,PATCH /api/v1/superadmin/campaign-categories/{id},PATCH,SUPERADMIN,"nama_kategori:""Kesehatan Anak"", deskripsi:""Updated""",200,"status:""success"", data kategori yang diperbarui",Superadmin
63,FR-ADMIN-04,FSD-12.4,TS-BE-P063,Nonaktifkan Kategori,PATCH /api/v1/superadmin/campaign-categories/{id}/status,PATCH,SUPERADMIN,"id: id_kategori valid, is_active:false",200,"status:""success"", is_active berubah false",Superadmin
64,FR-ADMIN-04,FSD-12.4,TS-BE-P064,Aktifkan Kategori,PATCH /api/v1/superadmin/campaign-categories/{id}/status,PATCH,SUPERADMIN,"id: id_kategori valid, is_active:true",200,"status:""success"", is_active berubah true",Superadmin
65,FR-ADMIN-04,FSD-12.4,TS-BE-P065,Hapus Kategori,PATCH /api/v1/superadmin/campaign-categories/{id},DELETE,SUPERADMIN,id: id_kategori valid,200,"status:""success"", kategori dihapus",Superadmin
66,FR-ADMIN-03,FSD-12.3,TS-BE-P066,List Template Dokumen,PATCH /api/v1/superadmin/document-templates,GET,SUPERADMIN,Token valid,200,"status:""success"", data array template dokumen",Superadmin
67,FR-ADMIN-03,FSD-12.3,TS-BE-P067,Upload Template Dokumen,PATCH /api/v1/superadmin/document-templates,POST,SUPERADMIN,"nama_template:""Template RAB"", jenis_template:""RAB"", file_template:url, versi_template:""v2""",200,"status:""success"", data template baru tersimpan sebagai versi aktif",Superadmin
68,FR-REG-01,FSD-13.1,TS-BE-P068,List Pendaftaran Komunitas,PATCH /api/v1/superadmin/community-registrations,GET,SUPERADMIN,"status:""menunggu_review""",200,"status:""success"", data array pendaftaran + pagination",Superadmin
69,FR-REG-01,FSD-13.1,TS-BE-P069,Detail Pendaftaran Komunitas,PATCH /api/v1/superadmin/community-registrations/{id},GET,SUPERADMIN,id: id_registrasi valid,200,"status:""success"", data detail profil, rekening, dokumen",Superadmin
70,FR-REG-01,FSD-13.1,TS-BE-P070,Approve Pendaftaran Komunitas,PATCH /api/v1/superadmin/community-registrations/{id}/approve,POST,SUPERADMIN,id: id_registrasi berstatus menunggu_review,200,"status:""success"", status jadi aktif, akun dapat login",Superadmin
71,FR-REG-01,FSD-13.1,TS-BE-P071,Reject Pendaftaran Komunitas,PATCH /api/v1/superadmin/community-registrations/{id}/reject,POST,SUPERADMIN,"id: id_registrasi berstatus menunggu_review, alasan_penolakan:""Dokumen tidak jelas""",200,"status:""success"", status jadi ditolak + alasan tersimpan",Superadmin
72,FR-REG-02,FSD-13.2,TS-BE-P072,Riwayat Pendaftaran Komunitas,PATCH /api/v1/superadmin/community-registrations/history,GET,SUPERADMIN,"filter_status:""ditolak""",200,"status:""success"", data riwayat sesuai filter",Superadmin
73,FR-VERIF-01,FSD-14.1,TS-BE-P073,List Pengajuan Perubahan Rekening,PATCH /api/v1/superadmin/bank-account-changes,GET,SUPERADMIN,"status:""menunggu""",200,"status:""success"", data array pengajuan + pagination",Superadmin
74,FR-VERIF-01,FSD-14.1,TS-BE-P074,Detail Perubahan Rekening,PATCH /api/v1/superadmin/bank-account-changes/{id},GET,SUPERADMIN,id: id_pengajuan valid,200,"status:""success"", data rekening lama, baru, bukti",Superadmin
75,FR-VERIF-01,FSD-14.1,TS-BE-P075,Approve Perubahan Rekening,PATCH /api/v1/superadmin/bank-account-changes/{id}/approve,POST,SUPERADMIN,id: id_pengajuan berstatus menunggu,200,"status:""success"", status jadi disetujui, rekening baru aktif",Superadmin
76,FR-VERIF-01,FSD-14.1,TS-BE-P076,Reject Perubahan Rekening,PATCH /api/v1/superadmin/bank-account-changes/{id}/reject,POST,SUPERADMIN,"id: id_pengajuan berstatus menunggu, alasan_penolakan:""Nama tidak sesuai""",200,"status:""success"", status jadi ditolak, rekening lama tetap aktif",Superadmin
77,FR-VERIF-02,FSD-14.2,TS-BE-P077,Riwayat Verifikasi Rekening,PATCH /api/v1/superadmin/bank-account-changes/history,GET,SUPERADMIN,"filter_status:""disetujui""",200,"status:""success"", data seluruh riwayat perubahan semua komunitas",Superadmin
78,FR-CAIR-02,FSD-6.2,TS-BE-P078,List Pengajuan Pencairan,PATCH /api/v1/superadmin/disbursements,GET,SUPERADMIN,"status:""menunggu_review""",200,"status:""success"", data array pencairan + pagination",Superadmin
79,FR-CAIR-02,FSD-6.2,TS-BE-P079,Detail Pencairan,PATCH /api/v1/superadmin/disbursements/{id},GET,SUPERADMIN,id: id_pencairan valid,200,"status:""success"", data nominal, rekening, proposal, riwayat",Superadmin
80,FR-CAIR-02,FSD-6.2,TS-BE-P080,Approve Pencairan,PATCH /api/v1/superadmin/disbursements/{id}/approve,POST,SUPERADMIN,id: id_pencairan berstatus menunggu_review,200,"status:""success"", status jadi disetujui, saldo terkunci dilepas",Superadmin
81,FR-CAIR-02,FSD-6.2,TS-BE-P081,Reject Pencairan,PATCH /api/v1/superadmin/disbursements/{id}/reject,POST,SUPERADMIN,"id: id_pencairan berstatus menunggu_review, alasan_penolakan:""Dokumen tidak lengkap""",200,"status:""success"", status jadi ditolak, saldo kembali",Superadmin
82,FR-CAIR-03,FSD-6.3,TS-BE-P082,Riwayat Pencairan,PATCH /api/v1/superadmin/disbursements/history,GET,SUPERADMIN,"filter_status:""disetujui""",200,"status:""success"", data riwayat pencairan",Superadmin
83,FR-LAPOR-02,FSD-15.2,TS-BE-P083,List Laporan Campaign Superadmin,PATCH /api/v1/superadmin/campaign-reports,GET,SUPERADMIN,"status:""menunggu_review""",200,"status:""success"", data array laporan + pagination",Superadmin
84,FR-LAPOR-02,FSD-15.2,TS-BE-P084,Detail Laporan Campaign,PATCH /api/v1/superadmin/campaign-reports/{id},GET,SUPERADMIN,id: id_laporan valid,200,"status:""success"", data detail campaign + daftar laporan masuk",Superadmin
85,FR-LAPOR-02,FSD-15.2,TS-BE-P085,Abaikan Laporan Campaign,PATCH /api/v1/superadmin/campaign-reports/{id}/ignore,POST,SUPERADMIN,"id: id_laporan valid, catatan_internal:""Laporan tidak terbukti""",200,"status:""success"", laporan ditandai sudah ditangani",Superadmin
86,FR-LAPOR-02,FSD-15.2,TS-BE-P086,Nonaktifkan Campaign dari Laporan,PATCH /api/v1/superadmin/campaigns/{id}/disable,POST,SUPERADMIN,"id: id_campaign valid, alasan_penonaktifan:""Informasi tidak sesuai""",200,"status:""success"", campaign jadi nonaktif, batas klarifikasi 7 hari",Superadmin
87,FR-LAPOR-04,FSD-15.4,TS-BE-P087,List Klarifikasi Campaign,PATCH /api/v1/superadmin/campaign-clarifications,GET,SUPERADMIN,"status:""menunggu_review""",200,"status:""success"", data array klarifikasi + pagination",Superadmin
88,FR-LAPOR-04,FSD-15.4,TS-BE-P088,Detail Klarifikasi Campaign,PATCH /api/v1/superadmin/campaign-clarifications/{id},GET,SUPERADMIN,id: id_klarifikasi valid,200,"status:""success"", data detail klarifikasi, alasan, dokumen",Superadmin
89,FR-LAPOR-04,FSD-15.4,TS-BE-P089,Aktifkan Kembali Campaign,PATCH /api/v1/superadmin/campaign-clarifications/{id}/reactivate,POST,SUPERADMIN,id: id_klarifikasi valid dan campaign nonaktif,200,"status:""success"", campaign jadi aktif kembali",Superadmin
90,FR-LAPOR-04,FSD-15.4,TS-BE-P090,Tutup Permanen Campaign,PATCH /api/v1/superadmin/campaign-clarifications/{id}/close-permanently,POST,SUPERADMIN,"id: id_klarifikasi valid, alasan_penutupan_permanen:""Klarifikasi tidak valid""",200,"status:""success"", campaign jadi ditutup_permanen",Superadmin
91,FR-PROF-09,FSD-2.9,TS-BE-P091,Lihat Profil Superadmin,PATCH /api/v1/superadmin/profile,GET,SUPERADMIN,Token valid,200,"status:""success"", data profil superadmin",Superadmin
92,FR-PROF-09,FSD-2.9,TS-BE-P092,Edit Profil Superadmin,PATCH /api/v1/superadmin/profile,PATCH,SUPERADMIN,"nama_lengkap:""Admin Utama"", foto_profil_url:""https://storage/foto.png""",200,"status:""success"", data profil diperbarui",Superadmin
93,FR-PROF-10,FSD-2.10,TS-BE-P093,Ganti Password Superadmin,PATCH /api/v1/superadmin/profile/password,PATCH,SUPERADMIN,"password_lama:valid, password_baru:""NewAdmin456"", password_baru_confirmation:""NewAdmin456""",200,"status:""success"", password berhasil diperbarui",Superadmin
94,FR-MON-02,FSD-7.2,TS-BE-P094,Monitoring Internal Campaign (Superadmin),PATCH /api/v1/campaigns/{id}/internal,GET,SUPERADMIN,id: id_campaign valid,200,"status:""success"", data donasi, pencairan, dokumen RAB, saldo, potongan",Monitoring
95,FR-MON-04,FSD-7.4,TS-BE-P095,Hapus Post Update Campaign,PATCH /api/v1/campaigns/updates/{updateId},DELETE,SUPERADMIN,updateId: id valid,200,"status:""success"", post update dihapus permanen",Monitoring
96,FR-REG-03,FSD-13.3,TS-BE-P096,Review Campaign Superadmin,PATCH /api/v1/superadmin/campaigns/review,GET,SUPERADMIN,Token valid,200,"status:""success"", data campaign menunggu review",Superadmin
97,FR-REG-03,FSD-13.3,TS-BE-P097,Detail Campaign Review,PATCH /api/v1/superadmin/campaigns/{id},GET,SUPERADMIN,id: id_campaign valid,200,"status:""success"", data detail campaign untuk review",Superadmin
98,FR-REG-03,FSD-13.3,TS-BE-P098,Approve Campaign,PATCH /api/v1/superadmin/campaigns/{id}/approve,POST,SUPERADMIN,id: id_campaign berstatus menunggu_review,200,"status:""success"", campaign jadi aktif",Superadmin
99,FR-REG-03,FSD-13.3,TS-BE-P099,Reject Campaign,PATCH /api/v1/superadmin/campaigns/{id}/reject,POST,SUPERADMIN,"id: id_campaign valid, alasan_penolakan:""Target tidak realistis""",200,"status:""success"", campaign jadi ditolak",Superadmin
100,FR-REG-04,FSD-13.4,TS-BE-P100,Riwayat Review Campaign,PATCH /api/v1/superadmin/campaign-review-history,GET,SUPERADMIN,Token valid,200,"status:""success"", data riwayat review campaign",Superadmin
101,FR-ADMIN-06,FSD-12.6,TS-BE-P101,List Audit Log,PATCH /api/v1/superadmin/audit-logs,GET,SUPERADMIN,"page:1, per_page:20",200,"status:""success"", data array audit log + pagination",Superadmin
102,FR-ADMIN-05,FSD-12.5,TS-BE-P102,Export Laporan Excel,PATCH /api/v1/superadmin/reports/financial/export,POST,SUPERADMIN,"tanggal_mulai:""2026-01-01"", tanggal_selesai:""2026-01-31"", format_export:""excel""",200,Binary file .xlsx dengan Content-Type: spreadsheet,Superadmin
103,FR-ADMIN-05,FSD-12.5,TS-BE-P103,Export Laporan PDF,PATCH /api/v1/superadmin/reports/financial/export,POST,SUPERADMIN,"tanggal_mulai:""2026-01-01"", tanggal_selesai:""2026-01-31"", format_export:""pdf""",200,Binary file .pdf dengan Content-Type: application/pdf,Superadmin
