TEST SCRIPT REPORT — FRONTEND (NEGATIF),,,,,,,,,,,,
Nama Kelompok,,:,Kelompok 3,,,,,,,,,
Kelas,,:,A,,,,,,,,,
Angkatan,,:,2024,,,,,,,,,
Nama Sistem,,:,BERBAGIVE,,,,,,,,,
Tipe Pengujian: Frontend,,,,,,,Skenario: Negatif,,,,,,
,,,,,,,,,,,,
No.,SRS Ref.,FSD Ref.,No. Test Script,Nama Fungsional,Halaman / Route,Aksi User,Input / Kondisi,Ekspektasi Status,Ekspektasi Elemen / Pesan,Kategori
11,FR-MON-01,FSD-7.1,TS-FE-N011,Monitoring Publik — Campaign tidak ditemukan,/campaigns/99999/monitoring,Buka monitoring campaign ID tidak ada,Tanpa login,Tampil error,Pesan error: Gagal memuat monitoring. / Campaign tidak ditemukan.,Kampanye
12,FR-DON-01,FSD-DON-01,TS-FE-N012,Buat Donasi — Nominal di bawah minimum,/campaigns/{id},Isi nominal 3000 di sidebar donasi,"nominal:3000",Tampil error validasi,Pesan error: Nominal donasi minimal Rp 5.000. Tombol Lanjutkan disabled atau tampil error.,Donasi
13,FR-DON-01,FSD-DON-01,TS-FE-N013,Buat Donasi — Form kosong di sidebar,/campaigns/{id},Klik Lanjutkan tanpa memilih apa pun,Tidak mengisi nominal,Tampil error validasi,Pesan error: Nominal donasi wajib diisi. Tombol Lanjutkan tidak merespon atau tampil error.,Donasi
14,FR-DON-03,FSD-DON-03,TS-FE-N014,Detail Donasi — ID tidak ditemukan,/donations/99999,Buka halaman detail donasi tidak ada,Sudah login sebagai DONATUR,Tampil error,Pesan: Donasi tidak ditemukan. Tombol kembali ke riwayat donasi.,Donasi
15,FR-DON-03,FSD-DON-03,TS-FE-N015,Detail Donasi — Akses donasi user lain,/donations/{id},Buka halaman detail donasi milik user lain (via URL langsung),Sudah login sebagai DONATUR,Redirect ke /forbidden atau error,Tampil halaman 403 Forbidden atau pesan akses ditolak.,Donasi
16,FR-PROF-05,FSD-2.5,TS-FE-N016,Profil Publik Komunitas — ID tidak ditemukan,/communities/99999,Buka halaman profil komunitas tidak ada,Tanpa login,Tampil error,Halaman error: Komunitas tidak ditemukan.,Komunitas
17,FR-PROF-06,FSD-2.6,TS-FE-N017,Edit Profil Komunitas — Akses sebagai DONATUR,/communities/profile/edit,Buka halaman edit profil komunitas langsung via URL,Sudah login sebagai DONATUR,Redirect ke /forbidden,Tampil halaman 403 Forbidden atau diarahkan ke halaman forbidden.,Komunitas
18,FR-DASH-KOM-01,FSD-10.1,TS-FE-N018,Dashboard Komunitas — Akses sebagai DONATUR,/communities/dashboard,Buka URL dashboard komunitas langsung,Sudah login sebagai DONATUR,Redirect ke /forbidden,Tampil halaman 403. Tidak bisa mengakses dashboard komunitas.,Dashboard
19,FR-DASH-SA-01,FSD-11.1,TS-FE-N019,Dashboard Superadmin — Akses sebagai DONATUR,/dashboard,Buka URL dashboard superadmin langsung,Sudah login sebagai DONATUR,Redirect ke /forbidden,Tampil halaman 403. Tidak bisa mengakses dashboard superadmin.,Superadmin
20,FR-DASH-SA-01,FSD-11.1,TS-FE-N020,Dashboard Superadmin — Akses sebagai KOMUNITAS,/dashboard,Buka URL dashboard superadmin langsung,Sudah login sebagai KOMUNITAS,Redirect ke /forbidden,Tampil halaman 403. Tidak bisa mengakses dashboard superadmin.,Superadmin
21,FR-MON-06,FSD-7.6,TS-FE-N021,Follow Komunitas — Tanpa login,/communities/{id},Klik tombol Follow di profil komunitas (tanpa login),Tanpa login,Redirect ke /login,Diarahkan ke halaman login. Notifikasi: Anda harus login untuk mengikuti komunitas.,Follow
22,FR-MON-06,FSD-7.6,TS-FE-N022,Follow Komunitas — Sudah follow (klik ulang),/communities/{id},Klik tombol Following (seharusnya tidak bisa follow lagi),Sudah follow komunitas tersebut,Tombol tetap Following,Tidak terjadi apa-apa. Tidak ada duplikasi follow.,Follow
23,FR-CAMP-01,FSD-5.1,TS-FE-N023,Ajukan Campaign — Target di bawah 10 juta,/communities/campaigns/create,Isi target dana 5 juta,"target_dana:5000000",Tampil error validasi,Pesan error: Target dana minimal Rp 10.000.000. Form tidak bisa disubmit.,Kampanye
24,FR-CAMP-01,FSD-5.1,TS-FE-N024,Ajukan Campaign — Tanggal selesai sebelum mulai,/communities/campaigns/create,Pilih tanggal selesai lebih awal dari mulai,"tanggal_mulai: 01-07-2026, tanggal_selesai: 01-01-2026",Tampil error validasi,Pesan error: Tanggal selesai harus setelah tanggal mulai.,Kampanye
25,FR-CAMP-01,FSD-5.1,TS-FE-N025,Ajukan Campaign — Field wajib kosong,/communities/campaigns/create,Klik Ajukan tanpa isi form,Semua field kosong,Tampil error validasi,Tiap field wajib menampilkan error: wajib diisi.,Kampanye
26,FR-MON-03,FSD-7.3,TS-FE-N026,Post Update — Judul dan konten kosong,/communities/campaigns/updates/create,Klik Post tanpa isi judul dan konten,Judul dan konten kosong,Tampil error validasi,Error: Judul update wajib diisi. Konten wajib diisi.,Kampanye
27,FR-MON-03,FSD-7.3,TS-FE-N027,Post Update — Foto melebihi 10,/communities/campaigns/updates/create,Input 11 URL foto,11 foto URL,Tampil error validasi,Error: Maksimal 10 foto. Field foto kelebihan.,Kampanye
28,FR-CAIR-01,FSD-6.1,TS-FE-N028,Ajukan Pencairan — Nominal melebihi saldo,/communities/withdrawals,Isi nominal lebih besar dari saldo tersedia,"nominal > saldo_tersedia",Tampil error validasi,Error: Nominal melebihi saldo tersedia. Tombol submit disabled.,Pencairan
29,FR-PROF-03,FSD-2.3,TS-FE-N029,Ganti Password — Password lama salah,/profile,Isi password lama salah,"password_lama:""wrongOld""",Tampil error,Notifikasi error: Password lama salah.,User Profile
30,FR-PROF-03,FSD-2.3,TS-FE-N030,Ganti Password — Konfirmasi tidak cocok,/profile,Isi password baru lalu konfirmasi beda,"password_baru:""New"", konfirmasi:""Diff""",Tampil error validasi,Error: Konfirmasi password tidak cocok.,User Profile
31,FR-PROF-03,FSD-2.3,TS-FE-N031,Ganti Password — Password baru sama dengan lama,/profile,Isi password baru sama dengan password lama,"password_baru = password_lama",Tampil error,Notifikasi: Password baru tidak boleh sama dengan password lama.,User Profile
32,FR-PROF-01,FSD-2.1,TS-FE-N032,Edit Profil — Nomor telepon format salah,/profile,Isi nomor telepon dengan huruf,"nomor_telepon:""abc""",Tampil error validasi,Error: Format nomor telepon tidak valid.,User Profile
33,FR-NOTIF-01,FSD-9.1,TS-FE-N033,Notifikasi — Akses tanpa login (via URL langsung),/notifications,Buka URL /notifications langsung,Tanpa login,Redirect ke /login,Diarahkan ke halaman login. Tidak bisa mengakses notifikasi.,Notifikasi
34,FR-REG-01,FSD-13.1,TS-FE-N034,Review Pendaftaran — Reject tanpa alasan,/dashboard/community-registrations/{id},Klik Reject tanpa isi alasan,Alasan kosong,Tampil error validasi,Error: Alasan penolakan wajib diisi.,Superadmin
35,FR-CAIR-02,FSD-6.2,TS-FE-N035,Review Pencairan — Reject tanpa alasan,/disbursements,Klik Reject tanpa isi alasan,Alasan kosong,Tampil error validasi,Error: Alasan penolakan wajib diisi.,Superadmin
36,FR-LAPOR-02,FSD-15.2,TS-FE-N036,Nonaktifkan Campaign — Alasan kosong,/dashboard/campaign-reports,Nonaktifkan campaign dari laporan tanpa alasan,Alasan kosong,Tampil error validasi,Error: Alasan penonaktifan wajib diisi.,Superadmin
37,FR-ADMIN-04,FSD-12.4,TS-FE-N037,Tambah Kategori — Nama kosong,/dashboard/campaign-categories,Klik Tambah lalu submit tanpa nama,Nama kategori kosong,Tampil error validasi,Error: Nama kategori wajib diisi.,Superadmin
38,FR-MIL-01,FSD-MIL-01,TS-FE-N038,Submit Laporan — Dokumentasi kosong,/communities/withdrawals/{id}/laporan,Submit form laporan tanpa file dokumentasi,file_dokumentasi_url kosong,Tampil error validasi,Error: Minimal 1 file dokumentasi wajib diupload.,Milestone
39,FR-MIL-01,FSD-MIL-01,TS-FE-N039,Submit Laporan — Deskripsi terlalu pendek,/communities/withdrawals/{id}/laporan,Isi deskripsi kurang dari 20 karakter,"deskripsi:""Singkat""",Tampil error validasi,Error: Deskripsi penggunaan minimal 20 karakter.,Milestone
40,FR-MIL-03,FSD-MIL-03,TS-FE-N040,Tambah Penerima — NIK tidak valid,/communities/laporan/{id}/penerima,Isi NIK kurang dari 16 digit,"nik:""12345678""",Tampil error validasi,Error: NIK harus 16 digit numerik.,Milestone
41,FR-MIL-06,FSD-MIL-06,TS-FE-N041,Verifikasi Laporan — Akses sebagai KOMUNITAS,/superadmin/laporan/{id}/verify,Buka URL verifikasi laporan langsung,Sudah login sebagai KOMUNITAS,Redirect ke /forbidden,Tampil halaman 403.,Milestone
42,FR-AUTH-03,FSD-1.3,TS-FE-N042,Login — Halaman butuh auth, redirect ke login,/profile,Buka /profile langsung tanpa login,Tanpa login,Redirect ke /login,Diarahkan ke halaman login. Setelah login, kembali ke profil.,Auth Guard
43,FR-MON-01,FSD-7.1,TS-FE-N043,Monitoring Publik — Belum ada donatur,/campaigns/{id}/monitoring,Buka monitoring campaign baru (0 donatur),Campaign tanpa donasi,Tampil halaman normal,Section Donatur Terbaru menampilkan teks: Belum ada donatur.,Kampanye
44,FR-MON-01,FSD-7.1,TS-FE-N044,Monitoring Publik — Campaign nonaktif,/campaigns/{id}/monitoring,Buka monitoring campaign nonaktif via URL,Campaign nonaktif,Tampil halaman,Detail campaign tetap tampil dengan status nonaktif (badge abu-abu). Progress bar mungkin terkunci.,Kampanye
